" ""McKINLEY CASH""",
" ""BRADFORD CLAUDE COLCORD""",
" ""HUNTER DICKINSON FARISH""",
" ""CATO DOUGLAS GLOVER""",
" ""ROBERT LESLIE JAMES""",
" ""LORRIN GARFIELD KENNAMER""",
" ""ROY RACHFORD KRACKE""",
" ""ELOISE LIDDON""",
" ""MILDRED FRANKLIN DODSON McMURRY""",
" ""JOHN LESLIE MIXSON""",
" ""HENRY CLIFTON PANNELL""",
" ""STELLA HARRIS WALKER""",
" ""HENRY WELCH ADAMS""",
" ""ROBERT A. BOWEN""",
" ""WILLIAM HENDERSON BRANTLEY JR.""",
" ""LOU BROWN""",
" ""MATTHEW WILLIAM CLINTON""",
" ""WALTER MAHAN JACKSON""",
" ""WALTER WALLACE KENNEDY""",
" ""EDWIN BRAGG LANCASTER""",
" ""ELOISE WHITLOW MERONEY""",
" ""IRENE BRINSON MUNRO""",
" ""ANLOUISA PEARSON""",
" ""HUGH LEE TAYLOR""",
" ""KATHERINE VICKERY""",
" ""MARY BEHRENDSEN WARD""",
" ""JOHN PEAVEY WRIGHT""",
" ""INEZ ELLIOTT ANDERSEN""",
" ""FANNA MAI KEES BEE""",
" ""HENRY BASCOM COLLINS""",
" ""RALPH BROWN DRAUGHON""",
" ""WILLIAM TEAGUE GAY""",
" ""JOHN MENDINGHALL GIBSON""",
" ""HOWARD HILL""",
" ""BESSIE WEBB JAYNES""",
" ""JOSEPH LEWIS""",
" ""JOHN L. MATTHEWS""",
" ""WILLIAM BENJAMIN MAULDIN""",
" ""FRANKLIN SHACKELFORD MOSELEY""",
" ""ROBERT LOVE PARTIN""",
" ""CHELSEA IVO HALL SPARKMAN""",
" ""LUCILE VERNON STEVENS""",
" ""HOWELL HUBERT VINES""",
" ""GLADYS BAKER""",
" ""PHELAN BRIGHT BRASHER""",
" ""WILBURT SCOTT BROWN""",
" ""RACHEL-DUKE HAMILTON CANNON""",
" ""ZELDA SAYRE FITZGERALD""",https://en.wikipedia.org/wiki/Zelda_Fitzgerald
" ""GLADYS HINDS""",
" ""JAMES WILLIAM McQUEEN""",
" ""WILLIAM JAMES RUSHTON""",
" ""WILLIAM PHILIP SPRATLING JR.""",
" ""CLEMENT ALLEN TAYLOR""",
" ""HARPER COUNCIL TRENHOLM""",
" ""AUGUST BURGHARD""",
" ""FELIX LOSSING CIRLOT""",https://en.wikipedia.org/wiki/Felix_L._Cirlot
" ""HERSTON MACAGER COOPER""",
